# Godzilla Pro device positions, from the game binary.
# 575 records (coil=10 led=506 switch=59), 164 on the playfield image.
# playfield image: assets/nuk/images/Test/scaled_godzilla_pro_playfield.png (313x710)
# class   name                                   x     y    w    h  grp index  conn   image
led       ETOPPER R DOME LED 10-B              408   249   40   30    3    63         System/TestMode/universal_topper_scaled
led       ETOPPER R DOME LED 11-R              408   249   40   30    3    65         System/TestMode/universal_topper_scaled
led       ETOPPER R DOME LED 11-G              408   249   40   30    3    67         System/TestMode/universal_topper_scaled
led       ETOPPER R DOME LED 11-B              408   249   40   30    3    66         System/TestMode/universal_topper_scaled
led       ETOPPER R DOME LED 12-R              408   249   40   30    3    68         System/TestMode/universal_topper_scaled
led       ETOPPER R DOME LED 12-G              408   249   40   30    3    70         System/TestMode/universal_topper_scaled
led       ETOPPER R DOME LED 12-B              408   249   40   30    3    69         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 1-R               408   249   40   30    3    71         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 1-G                73   279   30   30    3    73         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 2-R                73   279   30   30    3    74         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 2-G               108   279   30   30    3    76         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 2-B               108   279   30   30    3    75         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 3-R               108   279   30   30    3    77         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 3-G               143   279   30   30    3    79         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 3-B               143   279   30   30    3    78         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 4-R               143   279   30   30    3    80         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 4-G               178   279   30   30    3    82         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 4-B               178   279   30   30    3    81         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 5-R               178   279   30   30    3    83         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 5-G               213   279   30   30    3    85         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 5-B               213   279   30   30    3    84         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 6-R               213   279   30   30    3    86         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 6-G               247   279   30   30    3    88         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 6-B               247   279   30   30    3    87         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 7-R               247   279   30   30    3    89         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 7-G               282   279   30   30    3    91         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 7-B               282   279   30   30    3    90         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 8-R               282   279   30   30    3    92         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 8-G               317   279   30   30    3    94         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 8-B               317   279   30   30    3    93         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 9-R               317   279   30   30    3    95         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 9-G               352   279   30   30    3    97         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 9-B               352   279   30   30    3    96         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 10-R              352   279   30   30    3    98         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 10-G              387   279   30   30    3   100         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 10-B              387   279   30   30    3    99         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 11-R              387   279   30   30    3   101         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 11-G              422   279   30   30    3   103         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 11-B              422   279   30   30    3   102         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 12-R              422   279   30   30    3   104         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 12-G              457   279   30   30    3   106         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 12-B              457   279   30   30    3   105         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 13-R              457   279   30   30    3   107         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 13-G              492   279   30   30    3   109         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 13-B              492   279   30   30    3   108         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 14-R              492   279   30   30    3   110         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 14-G              526   279   30   30    3   112         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 14-B              526   279   30   30    3   111         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 15-R              526   279   30   30    3   113         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 15-G              561   279   30   30    3   115         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 15-B              561   279   30   30    3   114         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 16-R              561   279   30   30    3   116         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 16-G              596   279   30   30    3   118         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 16-B              596   279   30   30    3   117         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 17-R              596   279   30   30    3   119         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 17-G              631   279   30   30    3   121         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 17-B              631   279   30   30    3   120         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 18-R              631   279   30   30    3   122         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 18-G              631   279   30   30    3   124         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 18-B              631   279   30   30    3   123         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 19-R              631   279   30   30    3   125         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 19-G              596   279   30   30    3   127         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 19-B              596   279   30   30    3   126         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 20-R              596   279   30   30    3   128         System/TestMode/universal_topper_scaled
