# Godzilla Pro LED I/O map.
# Position from the device table in the binary; node/index verified
# against the boot enumeration on the wire (see ledio.py).
# node index name                                   x     y  conn  image
9      66    TOP SPINNER-R                        162   223  9c    playfield
9      67    TOP SPINNER-G                        165   207  9c    playfield
9      68    TOP SPINNER-B                        165   207  9c    playfield
9      69    POWERLINE CENTER                     165   207  9c    playfield
9      70    LITE DESTRUCTION JACKPOT             144   216  9c    playfield
9      71    BUILDING FIRE LEFT 2-R               124   220  9c    playfield
9      72    BUILDING FIRE LEFT 2-G               117   254  9c    playfield
9      73    BUILDING FIRE LEFT 3-R               117   254  9c    playfield
9      74    BUILDING FIRE LEFT 3-G               116   239  9c    playfield
9      75    BUILDING-R                           116   239  9c    playfield
9      76    BUILDING-G                           123   202  9c    playfield
9      77    BUILDING-B                           123   202  9c    playfield
9      78    POWERLINE LEFT                       123   202  9c    playfield
9      79    BUILDING FIRE RIGHT 3-R              104   219  9c    playfield
9      80    BUILDING FIRE RIGHT 3-G              135   238  9c    playfield
9      81    BUILDING FIRE RIGHT 2-R              135   238  9c    playfield
9      82    BUILDING FIRE RIGHT 2-G              136   254  9c    playfield
9      83    BUILDING FIRE RIGHT 1-R              136   254  9c    playfield
9      84    BUILDING FIRE RIGHT 1-G              137   265  9c    playfield
9      85    BUILDING FIRE LEFT 1-R               137   265  9c    playfield
9      86    BUILDING FIRE LEFT 1-G               118   267  9c    playfield
9      87    TANK 1A-G                            118   267        playfield
